Darlehenssumme,150000.00
Tilgungsfreie Darlehen: Gesamte Zinsen für 156 Monate,67500.00
Tilgungsfreie Darlehen: Monatliche Rate in EUR,562.50
Ansparenphase: Gesamte Ansparung für 150000.00 EUR in 156 Monaten,46382.00
Ansparenphase: Ansparrate pro Monat in EUR,250.00
Ansparenphase: Rest zu finanzieren in EUR,6118.00
Zwischenfinanzierung: Monatliche Rate in EUR,71.04
Zwischenfinanzierung: Gesamtzinsen in EUR,2406.22
Darlehenphase: Dallehensumme in EUR,97500.00
Darlehenphase: Monatliche Rate in EUR,122.00
Darlehenphase: Gesamte Zinsen in EUR,11830.29
Gesamtbelastung Ansparphase in EUR,812.50
Gesamtbelastung Darlehenphase mit Zwischenfinazierung in EUR,971.04
Gesamtbelastung Darlehenphase in EUR,900.00
Gesamtzinsen über gesamte Lufzeit in EUR,81736.51
Darlehen ohne BSV: Darlehen in EUR,812.50
